N°,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,CONDITIONNEMENT,LISTE,P1,P2,OBS,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL,DATE D'ENREGISTREMENT FINAL,TYPE,STATUT
1,027/01 A 004/97,01 A 004,DEXCHLORPHENIRAMINE MALEATE,POLARAMINE,SOL.INJ.,5MG/ML,B/05 AMP. DE 1ML,,HOP,OFF,,SCHERING PLOUGH,FRANCE,1997-04-02 00:00:00,1997-04-02 00:00:00,RE,I
2,088/01 A 007/02,01 A 007,DEXCHLORPHENIRAMINE MALEATE,DORAMINE,SIROP,"0,5MG/5ML",FL/125ML,LISTE II,HOP,OFF,,PHARMAGHREB,ALGERIE,2002-03-16 00:00:00,2002-03-16 00:00:00,GE,F
3,242/01 A 007/08,01 A 007,DEXCHLORPHENIRAMINE MALEATE,HISTONE,SIROP,"0,5MG/5ML",FL./100ML,LISTE II,HOP,OFF,,GROUPE SANTE,ALGERIE,2008-05-17 00:00:00,2008-05-17 00:00:00,GE,F
4,242/01 A 008/09,01 A 008,DOXYLAMINE SUCCINATE,DOMSTAL,SIROP,"6,25MG/5ML",FL./100ML,LISTE II,HOP,OFF,,GROUPE SANTE,ALGERIE,2009-05-02 00:00:00,2009-05-02 00:00:00,GE,F
5,099/01 A 032/07,01 A 032,MEQUITAZINE,PRIMALAN,SIROP,"1,25MG/2,5ML",FL/60ML,,HOP,OFF,OBS,PIERRE FABRE MEDICAMENT,FRANCE,2007-07-22 00:00:00,2007-07-22 00:00:00,RE,I
6,319/01 A 033/08,01 A 033,LORATADINE,GELARTINE,COMPRIME,10MG,B/20,LISTE II,HOP,OFF,,ARAB PHARM,ALGERIE,2008-12-23 00:00:00,2008-12-23 00:00:00,GE,F
7,001/01 A 033/00/07,01 A 033,LORATADINE,RESTAMINE,COMPRIME,10MG,B/10 - B/20,LISTE II,HOP,OFF,,HIKMA PHARMACEUTICALS,JORDANIE,2000-11-18 00:00:00,2007-01-06 00:00:00,GE,F
8,348/01 A 033/08,01 A 033,LORATADINE,APILOR,COMPRIME,10MG,B/20,LISTE II,HOP,OFF,,ALGERIAN PHARMACEUTICAL INSTITUT (API),ALGERIE,2008-09-10 00:00:00,2008-09-10 00:00:00,GE,F
9,003/01 A 034/06,01 A 034,LORATADINE,ALLERTINE,SIROP,1MG/ML,FL./60ML,LISTE II,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2006-02-25 00:00:00,2006-02-25 00:00:00,GE,F
10,319/01 A 034/08,01 A 034,LORATADINE,GELARTINE,SIROP,1MG/ML,FL./60ML,LISTE II,HOP,OFF,,ARAB PHARM,ALGERIE,2008-12-23 00:00:00,2008-12-23 00:00:00,GE,F
11,077/01 A 034/05,01 A 034,LORATADINE,HOCINOR,SIROP,1MG/ML,F/125ML,LISTE II,HOP,OFF,,LABORATOIRE ALGERIEN DU MEDICAMENT (LAM),ALGERIE,2005-06-14 00:00:00,2005-06-14 00:00:00,GE,F
12,242/01 A 034/09,01 A 034,LORATADINE,ORIN,SIROP,1MG/ML,FL./60ML,LISTE II,HOP,OFF,,GROUPE SANTE,ALGERIE,2009-01-27 00:00:00,2009-01-27 00:00:00,GE,F
13,001/01 A 034/02,01 A 034,LORATADINE,RESTAMINE,SIROP,1MG/ML,FL./60ML,LISTE II,HOP,OFF,,HIKMA PHARMACEUTICALS,JORDANIE,2002-09-04 00:00:00,2002-09-04 00:00:00,GE,F
14,073/01 A 034/07,01 A 034,LORATADINE,CLARADINE,SOL. BUV.,1MG/ML,FL./60ML,LISTE II,HOP,OFF,,ISOPHARM,ALGERIE,2007-09-15 00:00:00,2007-09-15 00:00:00,GE,F
15,317/01 A 034/07,01 A 034,LORATADINE,CLARDINE,SOL. BUV.,1MG/ML,FL./60ML,LISTE II,HOP,OFF,,INPHA SPA,ALGERIE,2007-11-18 00:00:00,2007-11-18 00:00:00,GE,F
16,035/01 A 034/08,01 A 034,LORATADINE,LORATADINE,SIROP,1MG/ML,FL./100ML,LISTE II,HOP,OFF,,PHARMALLIANCE,ALGERIE,2008-03-24 00:00:00,2008-03-24 00:00:00,GE,F
17,046/01 A 041/02,01 A 041,CETIRIZINE DICHLORHYDRATE,ZYRTEC,SOL BUV.GTTES,10MG/ML,B/01FL COMPTE GTTES DE 15ML,LISTE II,HOP,OFF,,UCB PHARMA,FRANCE,2002-09-04 00:00:00,2002-09-04 00:00:00,GE,I
18,317/01 A 047/11,01 A 047,Desloratadine,DESLOR,COMPRIME PELLICULE,5MG,B/15 ET B/30,LISTE II,HOP,OFF,,INPHA-MEDIS,ALGERIE,2011-05-30 00:00:00,2011-05-30 00:00:00,GE,F
19,245/01 D 029/01,01 D 029,EXTRAITS ALLERGENIQUES DERMATOPHAGOIDES PTERONYSSINUS 100%,IRIS,SUSP.INJ.,"0,1IR/ML+1IR/ML+10IR/ML",COFF./3FL . DE 5ML,,HOP,OFF,,ALLERBIO S.A.,FRANCE,2001-06-05 00:00:00,2001-06-05 00:00:00,GE,I
20,245/01 D 030/01,01 D 030,EXTRAITS ALLERGENIQUES DERMATOPHAGOIDES PTERONYSSINUS 100%,IRIS,SUSP.INJ.,10IR/ML,COFF/1FL. DE 5ML,,HOP,,,ALLERBIO S.A.,FRANCE,2001-06-05 00:00:00,2001-06-05 00:00:00,GE,I
21,436/02 B 008/09,02 B 008,KETAMINE CHLORHYDRATE EXPRIME EN KETAMINE,KETAMINE-10,SOL. INJ.,10MG/ML,B/20FL. DE 20ML,LISTE I,HOP,,,LIORAD,CUBA,2009-07-01 00:00:00,2009-07-01 00:00:00,GE,I
