N°,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,COND,LISTE,P1,P2,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL,TYPE,STATUT,DATE DE RETRAIT,MOTIF DE RETRAIT
1,156/01 A 001/99,01 A 001,ASTEMIZOLE,ASTEMIZOL RATIOPHARM,GLES.,10MG,B/20,Liste II,HOP,OFF,RATIOPHARM S.A.,ESPAGNE,1999-01-31 00:00:00,Gé,I,2009-03-07 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION DU LABORATOIRE
2,166/01 A 001/98,01 A 001,ASTEMIZOLE,ASTERAM,COMP.,10MG,B/10,Liste II,HOP,OFF,RAM PHARMA,JORDANIE,1998-06-30 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
3,174/01 A 001/98,01 A 001,ASTEMIZOLE,ASTIMAL,COMP.,10MG,B/10,Liste II,HOP,OFF,UNITED PHARMACEUTICAL MANUFACTURING (UPM),JORDANIE,1998-10-07 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
4,055/01 A 001/98,01 A 001,ASTEMIZOLE,ASTIZOL,COMP.,10MG,B/10,Liste II,HOP,OFF,DAR AL DAWA,JORDANIE,1998-08-22 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
5,196/01 A 001/99,01 A 001,ASTEMIZOLE,HISTAL,COMP.,10MG,B/20,Liste II,HOP,OFF,CUKUROVA DIS TICARET AS,TURQUIE,1999-10-12 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
6,121/01 A 001/99,01 A 001,ASTEMIZOLE,HISTANAL,COMP.,10MG,B/20,Liste II,HOP,OFF,OBS,SYRIE,1999-04-14 00:00:00,Gé,F,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
7,182/01 A 001/00,01 A 001,ASTEMIZOLE,HISTEM,COMP.,10MG,B/10,Liste II,HOP,OFF,CIPLA LIMITED,INDE,2000-11-18 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
8,255/01 A 003/98,01 A 003,CETIRIZINE,VIRLIX,COMP.PELLI.SEC,10MG,B/15,Liste II,HOP,OFF,SANOFI SYNTHELABO,FRANCE,1998-04-25 00:00:00,Ré,I,2006-11-06 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
9,182/01 A 003/99,01 A 003,CETIRIZINE DICHLORHYDRATE,ALERID,COMP.,10MG,B/10,Liste II,HOP,OFF,CIPLA LIMITED,INDE,1999-01-05 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
10,177/01 A 003/98,01 A 003,CETIRIZINE DICHLORHYDRATE,CETRYN,COMP.,10MG,B/10,Liste II,HOP,OFF,ABDI IBRAHIM,TURQUIE,1998-12-23 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
