N,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,CONDITIONNEMENT,LISTE,P1,P2,OBS,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL,DATE D'ENREGISTREMENT FINAL,TYPE,STATUT,DUREE DE STABILITE
1,035/01 A 003/17/23,01 A 003,CETIRIZINE DICHLORHYDRATE,CETIRIPEX,COMPRIME PELLICULE SECABLE,10MG,B/15,LISTE II,HOP,OFF,,PHARMALLIANCE,ALGERIE,2017-09-10 00:00:00,2023-12-04 00:00:00,GE,F,24 MOIS
2,077/01 A 003/17,01 A 003,CETIRIZINE DICHLORHYDRATE,ZYTREX,COMPRIME PELLICULE,10MG,B/10,LISTE II,HOP,OFF,,LAM,ALGERIE,2017-01-17 00:00:00,2017-01-17 00:00:00,GE,F,24 MOIS
3,235/01 A 003/16/23,01 A 003,CETIRIZINE DICHLORHYDRATE,RHITENE,COMPRIME PELLICULE SECABLE,10MG,B/15,LISTE II,HOP,OFF,,BIOGALENIC,ALGERIE,2016-01-17 00:00:00,2023-07-03 00:00:00,GE,F,36 MOIS
4,304/01 A 003/04/17,01 A 003,CETIRIZINE DICHLORHYDRATE,HISTARIZINE,COMPRIME PELLICULE,10MG,B/10,LISTE II,HOP,OFF,,GEOPHARM,ALGERIE,2018-01-07 00:00:00,2018-01-07 00:00:00,GE,F,24 MOIS
5,352/01 A 003/06/19,01 A 003,CETIRIZINE DICHLORHYDRATE,ARTIZ,COMPRIME PELLICULE,10MG,B/10,LISTE II,HOP,OFF,,EL KENDI,ALGERIE,2006-07-31 00:00:00,2013-08-07 00:00:00,GE,F,36 MOIS
6,380/01 A 003/16,01 A 003,CETIRIZINE DICHLORHYDRATE,ZYRTIRIZINE,COMPRIME PELLICULE,10MG,B/10,LISTE II,HOP,OFF,,HUPP PHARMA,ALGERIE,2016-07-26 00:00:00,2016-07-26 00:00:00,GE,F,24 MOIS
7,450/01 A 003/07/13,01 A 003,CETIRIZINE DICHLORHYDRATE,CETIRIZINE MYLAN,COMPRIME PELLICULE,10MG,B/15,LISTE II,HOP,OFF,,MYLAN SAS,FRANCE,2007-04-22 00:00:00,2013-07-30 00:00:00,GE,I,24 MOIS
8,462/01 A 003/13,01 A 003,CETIRIZINE DICHLORHYDRATE,CETIRIZINE PHYSIOPHARM,COMPRIME PELLICULE,10MG,B/10,LISTE II,HOP,OFF,,PHYSIOPHARM LABORATOIRES,ALGERIE,2013-05-12 00:00:00,2013-05-12 00:00:00,GE,F,24 MOIS
9,468/01 A 003/15,01 A 003,CETIRIZINE DICHLORHYDRATE,NADEC,COMPRIME PELLICULE,10MG,B/15,LISTE II,HOP,OFF,,NADPHARMADIC-PRODUCTION,ALGERIE,2015-12-02 00:00:00,2015-12-02 00:00:00,GE,F,24 MOIS
10,591/01 A 003/22,01 A 003,CETIRIZINE DICHLORHYDRATE,RHUMIZINE,COMPRIME PELLICULE,10MG,B/10,LISTE II,HOP,OFF,,TABET PHARM,ALGERIE,2022-11-29 00:00:00,2022-11-29 00:00:00,GE,F,24 MOIS
11,285/01 A 003/24,01 A 003,CETIRIZINE DICHLORHYDRATE,ZETIREC,COMPRIME PELLICULE SECABLE,10MG,B/15,LISTE II,HOP,OFF,,SPA UNION PHARMACEUITIQUE CONSTANTINOISE PRODUCTION,ALGERIE,2024-04-29 00:00:00,2024-04-29 00:00:00,GE,F,24 MOIS
12,003/01 A 005/97/21,01 A 005,DEXCHLORPHENIRAMINE MALEATE,HISTAGAN,COMPRIME SECABLE,2MG,B/30,,HOP,OFF,,GROUPE SAIDAL,ALGERIE,1997-08-12 00:00:00,2021-01-17 00:00:00,GE,F,36 MOIS
13,003/01 A 007/97/20,01 A 007,DEXCHLORPHENIRAMINE MALEATE,HISTAGAN,SOLUTION BUVABLE,"0,5MG/5ML",FLC 125ML,LISTE II,HOP,OFF,,GROUPE SAIDAL,ALGERIE,1997-12-06 00:00:00,2020-11-22 00:00:00,GE,F,36 MOIS
14,035/01 A 007/17,01 A 007,DEXCHLORPHENIRAMINE MALEATE,FENIRAMINE,SOLUTION BUVABLE,"0,5MG/5ML",b/01 fl de 125 ml +cuillère de mesue de 5 ml,LISTE II,HOP,OFF,,PHARMALLIANCE,ALGERIE,2017-08-03 00:00:00,2017-08-03 00:00:00,GE,F,24 MOIS
15,065/01 A 007/17,01 A 007,DEXCHLORPHENIRAMINE MALEATE,GENARITYNE,SOLUTION BUVABLE,"0,5MG/5ML",FL./125ML,LISTE II,HOP,OFF,,GENERICLAB PRODUCTION,ALGERIE,2017-06-12 00:00:00,2017-06-12 00:00:00,GE,F,24 MOIS
16,503/01 A 007/16,01 A 007,DEXCHLORPHENIRAMINE MALEATE,DEXCHLORPHENIRAMINE AFRO,SOLUTION BUVABLE,"0,5MG/5ML",F/125 ML+CUILLERE DE MESURE DE 5ML GRADUEE,LISTE II,HOP,OFF,,AFROPHARM SPA,ALGERIE,2016-11-09 00:00:00,2016-11-09 00:00:00,GE,F,24 MOIS
17,003/01 A 008/98/22,01 A 008,DOXYLAMINE SUCCINATE,SULAMINE,SIROP,"0,125 % 6,25MG/5ML",FL/125 ML,LISTE II,HOP,OFF,,GROUPE SAIDAL,ALGERIE,1997-01-05 00:00:00,2022-07-17 00:00:00,GE,F,36 MOIS
18,320/01 A 008/19,01 A 008,DOXYLAMINE SUCCINATE,DORLAMINE,SIROP,"0,125 % 6,25MG/5ML",FL/200ML,LISTE II,HOP,OFF,,ALGERIAN GENERICS DEVELOPMENT PHARMA (AGD PHARMA),ALGERIE,2019-07-24 00:00:00,2019-07-24 00:00:00,GE,F,24 MOIS
19,013/01 A 009/98/16,01 A 009,MEQUITAZINE,NATAZINE,COMPRIME SECABLE,5MG,B/14,LISTE I,HOP,OFF,,INDUSTRIA FARMACEUTICA NOVA ARGENTIA SPA,ITALIE,1998-07-01 00:00:00,2017-03-05 00:00:00,GE,I,36 MOIS
20,099/01 A 009/98,01 A 009,MEQUITAZINE,PRIMALAN,COMPRIME SECABLE,5MG,B/14,LISTE I,HOP,OFF,,PIERRE FABRE MEDICAMENT,FRANCE,1998-11-12 00:00:00,1998-11-12 00:00:00,RE,I,
21,235/01 A 009/20,01 A 009,MEQUITAZINE,MEQUITAZ,COMPRIME SECABLE,5MG,B/14,LISTE I,HOP,OFF,,BIOGALENIC,ALGERIE,2020-07-16 00:00:00,2020-07-16 00:00:00,GE,F,24 MOIS
22,318/01 A 009/20,01 A 009,MEQUITAZINE,PRIMAL,COMPRIME SECABLE,5MG,B/14,LISTE I,HOP,OFF,,PHARMIDAL NS,ALGERIE,2020-12-16 00:00:00,2020-12-16 00:00:00,GE,F,24 MOIS
23,487/01 A 011/06/14,01 A 011,PROMETHAZINE CHLORHYDRATE EXPRIME EN PROMETHAZINE,PRANOK,SOLUTION INJECTABLE,50MG/02ML,B/100 AMP. 02ML,LISTE I,HOP,,,GLOBAL PHARMATECH PRIVATE LIMITED,INDE,2006-07-22 00:00:00,2014-11-02 00:00:00,GE,I,36 MOIS
24,088/01 A 032/22,01 A 032,MEQUITAZINE,PRIMAZINE,SIROP,"2,5MG/5ML (0,05%)",B/01 FLACON DE 60ML,LISTE I,HOP,OFF,,LABORATOIRES PHARMAGHREB,ALGERIE,2022-02-07 00:00:00,2022-02-07 00:00:00,GE,F,24 MOIS
25,318/01 A 032/18/24,01 A 032,MEQUITAZINE,PRIMAL,SIROP,"0,5MG/5ML",B/01 FLACON DE 60ML,LISTE I,HOP,OFF,,PHARMIDAL NS,ALGERIE,2018-06-18 00:00:00,2024-05-23 00:00:00,GE,F,36 MOIS
26,462/01 A 032/23,01 A 032,MEQUITAZINE,PRYMALEX,SIROP,0.05%,B/01 FLACON DE 60ML,LISTE II,HOP,OFF,,PHYSIOPHARM LABORATOIRES,ALGERIE,2023-08-02 00:00:00,2023-09-04 00:00:00,GE,F,24 MOIS
27,235/01 A 032/19,01 A 032,MEQUITAZINE,MEQUITAZ,SIROP,"1,25MG/2,5ML",B/01 FLACON DE 60ML,,HOP,OFF,,BIOGALENIC,ALGERIE,2019-04-01 00:00:00,2019-04-01 00:00:00,GE,F,24 MOIS
28,003/01 A 033/03/23,01 A 033,LORATADINE,ALLERTINE,COMPRIME PELLICULE,10MG,B/20,LISTE II,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2003-08-13 00:00:00,2023-06-20 00:00:00,GE,F,36 MOIS
29,035/01 A 033/98/13,01 A 033,LORATADINE,LORADINE,COMPRIME PELLICULE,10MG,B/20,LISTE II,HOP,OFF,,PHARMALLIANCE,ALGERIE,1998-03-10 00:00:00,2013-08-19 00:00:00,GE,F,36 MOIS
30,039/01 A 033/16,01 A 033,LORATADINE,LORATAL,COMPRIME,10MG,B/20,LISTE II,HOP,OFF,,SOCIETE PHARMACEUTIQUE ALGERIENNE SOPHAL SPA,ALGERIE,2016-03-13 00:00:00,2016-03-13 00:00:00,GE,F,24 MOIS
31,055/01 A 033/01/23,01 A 033,LORATADINE,LORATAN,COMPRIME,10MG,B/20,LISTE II,HOP,OFF,,DAR AL DAWA,JORDANIE,2001-02-10 00:00:00,2023-09-18 00:00:00,GE,F,36 MOIS
32,149/01 A 033/13,01 A 033,LORATADINE,LORATADINE NOVAGENERICS,COMPRIME PELLICULE,10MG,B/20,LISTE II,HOP,OFF,,NOVAPHARM TRADING SARL,ALGERIE,2013-09-09 00:00:00,2013-09-09 00:00:00,GE,F,24 MOIS
33,242/01 A 033/12,01 A 033,LORATADINE,ORIN,COMPRIME PELLICULE,10MG,B/10,LISTE II,HOP,OFF,,SARL GROUPE SANTE,ALGERIE,2012-09-25 00:00:00,2012-09-25 00:00:00,GE,F,36 MOIS
34,268/01 A 033/05/23,01 A 033,LORATADINE,AKARYD,COMPRIME PELLICULE,10MG,B/20,LISTE II,HOP,OFF,,LABORATOIRES MERINAL FABRICATION,ALGERIE,2005-06-14 00:00:00,2023-05-07 00:00:00,GE,F,36 MOIS
35,293/01 A 033/04/12,01 A 033,LORATADINE,LUTEDINE,COMPRIME PELLICULE,10MG,B/30,LISTE II,HOP,OFF,,BIOCARE,ALGERIE,2004-11-10 00:00:00,2012-05-20 00:00:00,GE,F,36 MOIS
36,418/01 A 033/09/17,01 A 033,LORATADINE,NEOTADINE,COMPRIME PELLICULE,10MG,B/10 ET B/20,LISTE II,HOP,OFF,,NEOMEDIC,ALGERIE,2009-06-15 00:00:00,2017-01-09 00:00:00,GE,F,36 MOIS
37,447/01 A 033/14,01 A 033,LORATADINE,LORATADINE BEKER,COMPRIME PELLICULE,10MG,B/30,LISTE II,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2014-12-15 00:00:00,2014-12-15 00:00:00,GE,F,36 MOIS
38,528/01 A 033/18,01 A 033,LORATADINE,LORATINE,COMPRIME PELLICULE,10MG,B/30,LISTE II,HOP,OFF,,JANIS MED SARL,ALGERIE,2012-12-25 00:00:00,2018-12-25 00:00:00,GE,F,24 MOIS
39,608/01 A 033/02/23,01 A 033,LORATADINE,TIRLOR,COMPRIME PELLICULE,10MG,B/20,LISTE II,HOP,OFF,,SPA JAMJOOM ALGERIA LIL DAWA,ALGERIE,2004-12-19 00:00:00,2023-09-17 00:00:00,GE,F,36 MOIS
40,235/01 A 033/09/22,01 A 033,LORATADINE,RITADOLE,COMPRIME PELLICULE,10MG,B/20,LISTE II,HOP,OFF,,BIOGALENIC,ALGERIE,2009-07-19 00:00:00,2022-01-18 00:00:00,GE,F,36 MOIS
41,400/01 A 034/21,01 A 034,LORATADINE,ALLERMEX,SIROP,1MG/ML,1 FLC DE 60 ML,LISTE II,HOP,OFF,,KPMA BIOTIC,ALGERIE,2021-11-04 00:00:00,2021-11-04 00:00:00,GE,F,24 MOIS
42,528/01 A 034/18,01 A 034,LORATADINE,LORATINE,SIROP,1MG/ML,FL./125 ML AVEC CUILLERE MESURE,LISTE II,HOP,OFF,,JANIS MED SARL,ALGERIE,2018-08-08 00:00:00,2018-08-08 00:00:00,GE,F,24 MOIS
43,035/01 A 039/17,01 A 039,FEXOFENADINE CHLORHYDRATE,TELFADINE,COMPRIME PELLICULE,120MG,B/20,LISTE II,HOP,OFF,,PHARMALLIANCE,ALGERIE,2017-02-07 00:00:00,2017-02-07 00:00:00,GE,F,24 MOIS
44,039/01 A 039/11/24,01 A 039,FEXOFENADINE CHLORHYDRATE,FEXONIDAL,COMPRIME PELLICULE,120MG,B/15,LISTE II,HOP,OFF,,SOCIETE PHARMACEUTIQUE ALGERIENNE SOPHAL SPA,ALGERIE,2011-09-20 00:00:00,2024-02-28 00:00:00,GE,F,24 MOIS
45,195/01 A 039/07/12,01 A 039,FEXOFENADINE CHLORHYDRATE,FEXOFENADINE IVAL,COMPRIME PELLICULE,120MG,B/15,LISTE II,HOP,OFF,,PHARMA IVAL SPA,ALGERIE,2007-05-12 00:00:00,2012-12-10 00:00:00,GE,F,36 MOIS
46,268/01 A 039/07/18,01 A 039,FEXOFENADINE CHLORHYDRATE,RIFEX 120,COMPRIME PELLICULE,120MG,B/20,LISTE II,HOP,OFF,,LABORATOIRES MERINAL FABRICATION,ALGERIE,2007-02-13 00:00:00,2018-09-03 00:00:00,GE,F,36 MOIS
47,352/01 A 039/07/17,01 A 039,FEXOFENADINE CHLORHYDRATE,FEXODINE,COMPRIME PELLICULE,120MG,B/15,LISTE II,HOP,OFF,,EL KENDI,ALGERIE,2007-05-09 00:00:00,2017-12-31 00:00:00,GE,F,36 MOIS
48,392/01 A 039/00/21,01 A 039,FEXOFENADINE CHLORHYDRATE,TELFAST,COMPRIME PELLICULE,120MG,B/15,LISTE II,HOP,OFF,,SANOFI AVENTIS ALGERIE SPA,ALGERIE,2000-11-18 00:00:00,2021-05-26 00:00:00,RE,F,36 MOIS
49,447/01 A 039/17,01 A 039,FEXOFENADINE CHLORHYDRATE,FEXOFENADINE BEKER,COMPRIME PELLICULE,120MG,B/15,LISTE II,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2017-02-12 00:00:00,2017-02-12 00:00:00,GE,F,24 MOIS
50,492/01 A 039/15,01 A 039,FEXOFENADINE CHLORHYDRATE,FASTOFEN 120,COMPRIME PELLICULE,120MG,B/20,LISTE II,HOP,OFF,,SOPRODIM SPA,ALGERIE,2015-07-26 00:00:00,2016-02-02 00:00:00,GE,F,24 MOIS
51,039/01 A 040/11/24,01 A 040,FEXOFENADINE CHLORHYDRATE,FEXONIDAL,COMPRIME PELLICULE,180MG,B/15,LISTE II,HOP,OFF,,SOCIETE PHARMACEUTIQUE ALGERIENNE SOPHAL SPA,ALGERIE,2011-09-20 00:00:00,2024-02-28 00:00:00,GE,F,24 MOIS
52,195/01 A 040/07/14,01 A 040,FEXOFENADINE CHLORHYDRATE,FEXOFENADINE IVAL,COMPRIME PELLICULE,180MG,B/15,LISTE II,HOP,OFF,,PHARMA IVAL SPA,ALGERIE,2007-05-12 00:00:00,2014-10-13 00:00:00,GE,F,36 MOIS
53,268/01 A 040/07/18,01 A 040,FEXOFENADINE CHLORHYDRATE,RIFEX 180,COMPRIME PELLICULE,180MG,B/20,LISTE II,HOP,OFF,,LABORATOIRES MERINAL FABRICATION,ALGERIE,2007-02-13 00:00:00,2018-09-03 00:00:00,GE,F,36 MOIS
54,352/01 A 040/07/17,01 A 040,FEXOFENADINE CHLORHYDRATE,FEXODINE,COMPRIME PELLICULE,180MG,B/15,LISTE II,HOP,OFF,,EL KENDI,ALGERIE,2007-05-09 00:00:00,2017-12-27 00:00:00,GE,F,36 MOIS
55,392/01 A 040/00/21,01 A 040,FEXOFENADINE CHLORHYDRATE,TELFAST,COMPRIME PELLICULE,180MG,B/15,LISTE II,HOP,OFF,,SANOFI AVENTIS ALGERIE SPA,ALGERIE,2000-11-18 00:00:00,2021-05-26 00:00:00,RE,F,36 MOIS
56,447/01 A 040/17,01 A 040,FEXOFENADINE CHLORHYDRATE,FEXOFENADINE BEKER,COMPRIME PELLICULE,180MG,B/20,LISTE II,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2017-02-07 00:00:00,2017-02-07 00:00:00,GE,F,24 MOIS
